"FID_","GRIDCODE","hb5id","DESCRIP","UNIQUE_ID","BasinSplit","Area_Mi2"
,1.000000,"YWRQ9","Yukon River above White River","YWRQ9UPR",3000,25543.240000
,0.000000,"YWRQ9","Yukon River above White River","YWRQ9LWR",3000,12813.640000
,1.000000,"YDAQ9","Yukon River at Dawson","YDAQ9UPR",3000,7918.680000
,0.000000,"YDAQ9","Yukon River at Dawson","YDAQ9LWR",3000,8652.800000
,0.000000,"WHRQ9","White River near Beaver Cr.","WHRQ9NGL",-999,1626.580000
,0.000000,"WHRQ9","White River near Beaver Cr.","WHRQ9GL",-999,861.230000
,1.000000,"SRMQ9","Stewart River at Yukon Mouth","SRMQ9UPR",3000,3267.780000
,0.000000,"SRMQ9","Stewart River at Yukon Mouth","SRMQ9LWR",3000,4639.190000
,1.000000,"SRFQ9","Stewart River near Mayo","SRFQ9UPR",3000,8654.750000
,0.000000,"SRFQ9","Stewart River near Mayo","SRFQ9LWR",3000,3153.900000
,1.000000,"PRXQ9","Pelly River at Pelly Crossing","PRXQ9UPR",3000,13921.000000
,0.000000,"PRXQ9","Pelly River at Pelly Crossing","PRXQ9LWR",3000,5173.680000
,1.000000,"NIRQ9","Nisling River blw Onion Cr.","NIRQ9UPR",3000,2429.000000
,0.000000,"NIRQ9","Nisling River blw Onion Cr.","NIRQ9LWR",3000,435.400000
,1.000000,"KLNQ9","Klondike River abv Bonanza R.","KLNQ9UPR",3000,1718.070000
,0.000000,"KLNQ9","Klondike River abv Bonanza R.","KLNQ9LWR",3000,1331.660000
,1.000000,"FMWA2","West Fork at Taylor Hwy","FMWA2UPR",3000,87.180000
,0.000000,"FMWA2","West Fork at Taylor Hwy","FMWA2LWR",3000,532.000000
,1.000000,"FMSA2","South Fork at Taylor Hwy","FMSA2UPR",3000,212.950000
,0.000000,"FMSA2","South Fork at Taylor Hwy","FMSA2LWR",3000,742.350000
,1.000000,"FMRA2","Fortymile Riverat Taylor Hwy","FMRA2UPR",3000,1445.760000
,0.000000,"FMRA2","Fortymile Riverat Taylor Hwy","FMRA2LWR",3000,976.250000
,1.000000,"FMMA2","Mosquito Fork at Taylor Hwy","FMMA2UPR",3000,462.690000
,0.000000,"FMMA2","Mosquito Fork at Taylor Hwy","FMMA2LWR",3000,645.830000
,1.000000,"FMKA2","Walker Fork at Taylor Hwy","FMKA2UPR",3000,212.200000
,0.000000,"FMKA2","Walker Fork at Taylor Hwy","FMKA2LWR",3000,177.480000
,1.000000,"UCHA2","Chena River near Two Rivers","UCHA2UPR",2000,543.580000
,0.000000,"UCHA2","Chena River near Two Rivers","UCHA2LWR",2000,393.570000
,0.000000,"TAFA2","Tanana River at Fairbanks","TAFA2LWR",3000,2480.840000
,1.000000,"TAFA2","Tanana River at Fairbanks","TAFA2UPR",3000,760.390000
,0.000000,"TAFA2","Tanana River at Fairbanks","TAFA2GL",-999,191.960000
,0.000000,"TKGA2","Tok River near Tok","TKGA2LWR",4000,514.120000
,1.000000,"TKGA2","Tok River near Tok","TKGA2UPR",4000,418.760000
,0.000000,"TSGA2","Tanana River at Tanacross","TSGA2LOC",-999,354.830000
,0.000000,"TTNA2","Tanana River at Tetlin","TLNA2LOC",-999,1261.440000
,0.000000,"SALA2","Salcha River near Salchaket","SALA2LWR",2000,733.420000
,1.000000,"SALA2","Salcha River near Salchaket","SALA2UPR",2000,1481.610000
,0.000000,"NEBA2","Nebesna R. near Northway","NEBA2LWR",4000,777.730000
,1.000000,"NEBA2","Nebesna R. near Northway","NEBA2UG",7000,398.750000
,0.000000,"NEBA2","Nebesna R. near Northway","NEBA2LG",7000,181.470000
,1.000000,"NEBA2","Nebesna R. near Northway","NEBA2UPR",4000,1009.710000
,1.000000,"MHSA2","Tanana River at Manley Hot Spr","MHSA2UPR",3000,1124.740000
,1.000000,"MHSA2","Tanana River at Manley Hot Spr","MHSA2UG",7000,185.770000
,0.000000,"MHSA2","Tanana River at Manley Hot Spr","MHSA2LWR",3000,12542.730000
,0.000000,"MHSA2","Tanana River at Manley Hot Spr","MHSA2LG",7000,374.770000
,0.000000,"MCDA2","Chena River at Moose Cr. Dam","MCDA2LOC",-999,108.940000
,1.000000,"HNRA2","Nenana River at Healy","HNRA2UPR",3000,1174.040000
,0.000000,"HNRA2","Nenana River at Healy","HNRA2LWR",3000,600.190000
,0.000000,"HNRA2","Nenana River at Healy","HNRA2GL",-999,126.930000
,1.000000,"GBDA2","Goodpastor R. near Big Delta","GBDA2UPR",3000,388.570000
,0.000000,"GBDA2","Goodpastor R. near Big Delta","GBDA2LWR",3000,297.500000
,1.000000,"ENNA2","Tanana River at Nenana","ENNA2UPR",3000,742.870000
,0.000000,"ENNA2","Tanana River at Nenana","ENNA2LWR",3000,2804.940000
,1.000000,"DBRA2","Delta Rvier at Black Rapids","DBRA2UPR",3000,577.850000
,0.000000,"DBRA2","Delta Rvier at Black Rapids","DBRA2LWR",3000,116.800000
,0.000000,"DBRA2","Delta Rvier at Black Rapids","DBRA2GL",-999,306.010000
,1.000000,"CRSA2","Chatanika River at Steese Hwy","CRSA2UPR",2000,209.960000
,0.000000,"CRSA2","Chatanika River at Steese Hwy","CRSA2LWR",2000,160.160000
,1.000000,"CRNA2","Chisana River at Northway","CRNA2UPR",4000,658.270000
,1.000000,"CRNA2","Chisana River at Northway","CRNA2UG",7000,134.060000
,0.000000,"CRNA2","Chisana River at Northway","CRNA2LWR",4000,2297.680000
,0.000000,"CRNA2","Chisana River at Northway","CRNA2LG",7000,43.270000
,1.000000,"CRHA2","Chena Rvier at Hunts Creek","CRHA2UPR",2000,59.790000
,0.000000,"CRHA2","Chena Rvier at Hunts Creek","CRHA2LWR",2000,348.710000
,1.000000,"CHLA2","Little Chena R. near Fairbanks","CHLA2UPR",2000,81.210000
,0.000000,"CHLA2","Little Chena R. near Fairbanks","CHLA2LWR",2000,294.420000
,0.000000,"CHFA2","Chena River at Fairbanks","CHFA2LOC",-999,314.710000
,0.000000,"CHAA2","Chatanika River at Elliot Hwy","CHAA2LOC",-999,164.120000
,1.000000,"BGDA2","Tanana River at Big Delta","BGDA2UPR",3000,1434.610000
,0.000000,"BGDA2","Tanana River at Big Delta","BGDA2LWR",3000,3255.970000
,0.000000,"BGDA2","Tanana River at Big Delta","BGDA2GL",-999,257.690000
,1.000000,"TYAA2","Tiaya River near Haines","TYAA2UPR",3000,37.370000
,1.000000,"TYAA2","Tiaya River near Haines","TYAA2UG",4000,58.790000
,0.000000,"TYAA2","Tiaya River near Haines","TYAA2LWR",3000,35.670000
,0.000000,"TYAA2","Tiaya River near Haines","TYAA2LG",4000,52.510000
,1.000000,"TKUA2","Taku River near Juneau","TKUA2UPR",4000,2365.650000
,0.000000,"TKUA2","Taku River near Juneau","TKUA2LWR",4000,3682.060000
,0.000000,"TKUA2","Taku River near Juneau","TKUA2GL",-999,493.330000
,1.000000,"TATQ9","Tatshenshini River","TATQ9UPR",3000,551.340000
,0.000000,"TATQ9","Tatshenshini River","TATQ9LWR",3000,132.840000
